Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3,NombreNormalizado
azatioprina,D,"Este medicamento se ha asociado con un riesgo ligeramente mayor de malformaciones fetales, inmunosupresión neonatal y supresión de la médula ósea en el bebé.",Alergia y sistema inmunológico,Inmunomodificadores,,azatioprina
ácido azelaico,B1,,Medicamentos utilizados en Dermatología,Actual,,acido azelaico
azelastina,B3,,Alergia y sistema inmunológico,Antihistamínicos,,azelastina
clorhidrato de azelastina/propionato de fluticasona,B3,,Alergia y sistema inmunológico,,,clorhidrato de azelastina/propionato de fluticasona
azitromicina,B1,,Antimicrobianos,Antibióticos,antibióticos macrólidos,azitromicina
azlocilina,B3,,Antimicrobianos,Antibióticos,penicilinas,azlocilina
aztreonam,B1,,Antimicrobianos,Antibióticos,,aztreonam
baclofeno,B3,,Sistema musculoesquelético,relajantes musculares,,baclofeno
baloxavir,B3,,Antimicrobianos,agentes antivirales,,baloxavir
balsalazida,do,"Los antiinflamatorios no esteroideos inhiben la síntesis de prostaglandinas y, al administrarse durante la última etapa del embarazo, pueden causar el cierre del conducto arterioso fetal, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con antiinflamatorios no esteroideos durante el último trimestre del embarazo solo debe administrarse bajo indicación médica. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema alimentario,Antidiarreicos,,balsalazida
baricitinib,D,"Según su mecanismo de acción, se sospecha que el baricitinib afecta el desarrollo embrionario temprano cuando se administra durante el embarazo. Se ha demostrado que el baricitinib causa letalidad embriofetal y malformaciones fetales en ratas o conejas preñadas.",Sistema musculoesquelético,agentes antirreumatoides,,baricitinib
basiliximab,D, Este medicamento tiene efectos farmacológicos potencialmente peligrosos debido a su acción inmunosupresora.,Alergia y sistema inmunológico,Inmunomodificadores,,basiliximab
BCG (Mycobacterium bovis),B2,,Vacunas,Vacunas vivas atenuadas,,BCG (Mycobacterium bovis)
becaplermina,B2,,Medicamentos utilizados en Dermatología,Actual,,becaplermina
beclometasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema endocrino,Corticosteroides,Inhalación/intranasal,beclometasona
beclometasona,B3,Los beneficios del control del asma superan cualquier potencial resultado adverso durante el embarazo.,Sistema respiratorio,Agentes inhalatorios,Aerosoles e inhalaciones preventivas,beclometasona
belatacept,do,,Alergia y sistema inmunológico,Inmunomodificadores,,belatacept
belimumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,,belimumab
belladona,B2,,Agentes colinérgicos y anticolinérgicos,,,belladona
belzutifan,D,"Según los hallazgos de estudios realizados en animales, belzutifan puede causar daño fetal, incluida pérdida fetal: la administración de belzutifan a ratas preñadas durante la organogénesis causó letalidad embriofetal, reducción del peso corporal fetal y anomalías esqueléticas fetales.",Agentes antineoplásicos,,,belzutifan
clorhidrato de bendamustina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,,clorhidrato de bendamustina
bendrofluazida,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa",bendrofluazida
benralizumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,,benralizumab
benserazida,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,benserazida
benserazida/levodopa,B3,,Sistema nervioso central,Agentes antiparkinsonianos,,benserazida/levodopa
penicilina benzatínica,A,,Antimicrobianos,Antibióticos,penicilinas,penicilina benzatinica
benzatropina,B2,,Sistema nervioso central,Agentes antiparkinsonianos,,benzatropina
benzhexol (trihexifenidilo),B1,,Sistema nervioso central,Agentes antiparkinsonianos,,benzhexol (trihexifenidilo)
peróxido de benzoilo / adapaleno,D,"Se han reportado casos aislados de defectos congénitos en bebés nacidos de mujeres que usan este medicamento. Debido al riesgo potencial de efectos adversos en el desarrollo fetal, adapaleno no debe ser usado por mujeres embarazadas o que planeen quedar embarazadas durante el tratamiento.",,,,peroxido de benzoilo / adapaleno
peróxido de benzoilo / clindamicina,A,,Antimicrobianos,Antimicrobianos tópicos,,peroxido de benzoilo / clindamicina
bencidamina (tópica orofaríngea),B2,,Preparaciones bucales,,,bencidamina (topica orofaringea)
benzoato de bencilo,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,,benzoato de bencilo
bencilpenicilina,A,,Antimicrobianos,Antibióticos,penicilinas,bencilpenicilina
betahistina,B2,,Sistema cardiovascular,Vasodilatadores,,betahistina
acetato de betametasona / betametasona,do,,Sistema endocrino,Corticosteroides,,acetato de betametasona / betametasona
dipropionato de betametasona,B3,,Sistema endocrino,Corticosteroides,,dipropionato de betametasona
dipropionato de betametasona/calcipotriol,B3,,Medicamentos utilizados en dermatología,Actual,,dipropionato de betametasona/calcipotriol
valerato de betametasona,B3,,Sistema endocrino,Corticosteroides,,valerato de betametasona
betaxolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,betaxolol
betaxolol (oftálmico),do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,,betaxolol (oftalmico)
betanecol,B2,Este medicamento tiene un potente efecto excitatorio sobre el músculo liso y debe evitarse durante el embarazo.,Agentes colinérgicos y anticolinérgicos,,,betanecol
betanecol,B2,El betanecol tiene un potente efecto excitador sobre el músculo liso y debe evitarse durante el embarazo.,Sistema genitourinario,Trastornos de la función de la vejiga,,betanecol
bevacizumab,D,"Se sabe que los anticuerpos IgG atraviesan la barrera placentaria, y este fármaco puede inhibir la angiogénesis fetal. Se ha demostrado que la angiogénesis es crucial para el desarrollo fetal.",Agentes antineoplásicos,anticuerpos monoclonales,,bevacizumab
bevantolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,bevantolol
bezlotoxumab,B2,,Alergia y sistema inmunológico,Inmunomodificadores,,bezlotoxumab
bicalutamida,D,La administración oral de este fármaco a ratas al final de la gestación y durante la lactancia provocó la feminización de las crías macho.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,,bicalutamida
bictegravir/emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,,bictegravir/emtricitabina/tenofovir alafenamida
bifonazol,B3,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",,bifonazol
bilastina,B3,,Alergia y sistema inmunológico,Antihistamínicos,,bilastina
bimatoprost,B3,,Medicamentos oftálmicos,,,bimatoprost
bimatoprost/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,,bimatoprost/timolol
bimekizumab,do,"Basándose en el mecanismo de acción de bimekizumab, no se puede excluir el riesgo teórico de que su uso durante el embarazo pueda afectar la inmunidad neonatal.",Alergia y sistema inmunológico,Inmunomodificadores,,bimekizumab
binimetinib,D,"Según los resultados de estudios en animales, binimetinib puede ser perjudicial para el feto. No debe administrarse durante el embarazo a menos que los beneficios para la madre superen claramente los riesgos para el feto.",Agentes antineoplásicos,,,binimetinib
bioaletrina,B2,,Medicamentos utilizados en Dermatología,antiparasitarios tópicos,,bioaletrina
biperideno,B2,,Sistema nervioso central,Agentes antiparkinsonianos,,biperideno
bisacodilo,A,,Sistema alimentario,Laxantes,,bisacodilo
subcitrato de bismuto,B2,,Sistema alimentario,"Hiperacidez, reflujo, úlceras",,subcitrato de bismuto
bisoprolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,,bisoprolol
bivalirudina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,,bivalirudina
bleomicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,,bleomicina
blinatumomab (rch),do,,Agentes antineoplásicos,anticuerpos monoclonales,,blinatumomab (rch)
boceprevir,B2,,Antimicrobianos,agentes antivirales,,boceprevir
boceprevir con ribavirina y peginterferón alfa,incógnita,"Aunque no existen datos pertinentes en humanos, se ha demostrado que la ribavirina es teratogénica y/o embrioletal en casi todas las especies en las que se ha probado. Se observaron malformaciones en el cráneo, paladar, ojos, mandíbula, esqueleto y tracto gastrointestinal en estudios con animales. La supervivencia de fetos y crías se redujo.",Antimicrobianos,agentes antivirales,,boceprevir con ribavirina y peginterferon alfa
bortezomib,do,"Si se produce una transferencia placentaria suficiente, el bortezomib tiene el potencial de alterar el ciclo de proteínas en el feto en desarrollo y, por lo tanto, puede tener un efecto adverso en el desarrollo fetal.",Agentes antineoplásicos,,,bortezomib
bosentán,incógnita,"La teratogenicidad es un efecto de clase de estos agentes, que induce múltiples anomalías fetales en estudios con animales. Es probable que estos fármacos causen defectos congénitos importantes si se utilizan durante el embarazo.",Sistema cardiovascular,Antagonista del receptor de endotelina,,bosentan
toxina botulínica tipo A,B3,,Sistema musculoesquelético,relajantes musculares,,toxina botulinica tipo A
brentuximab vedotina,D,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria y este medicamento se une al receptor del factor de crecimiento epidérmico que participa en el desarrollo fetal.,Agentes antineoplásicos,anticuerpos monoclonales,,brentuximab vedotina
tosilato de bretilio,do,Este medicamento conlleva el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antiarrítmicos,,tosilato de bretilio
brexpiprazol,do,"Los neonatos expuestos a antipsicóticos durante el tercer trimestre del embarazo corren el riesgo de presentar síntomas extrapiramidales o de abstinencia después del parto. Se han notificado casos de agitación, hipertonía, hipotonía, temblor, somnolencia, dificultad respiratoria y trastornos de la alimentación en estos neonatos. La gravedad de estas complicaciones ha variado; mientras que en algunos casos los síntomas han remitido espontáneamente, en otros los neonatos han requerido apoyo en la unidad de cuidados intensivos y hospitalización prolongada.",Sistema nervioso central,fármacos antipsicóticos,,brexpiprazol
 brexucabtagene autoleucel,do,"Según el mecanismo de acción, si las células transducidas atraviesan la placenta, pueden causar toxicidad fetal, incluida linfocitopenia de células B.",Agentes antineoplásicos,,, brexucabtagene autoleucel
brigatinib,D," Brigatinib puede causar daño fetal si se administra a mujeres embarazadas. Estudios en animales han mostrado toxicidad reproductiva. En ratas embarazadas tratadas con dosis aproximadamente equivalentes a la dosis humana, se observaron anomalías y malformaciones esqueléticas o viscerales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,,brigatinib
